trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	47.4  	1   	6  +  5   	---     	1.851	1.581	1   	odd     	odd     
2   	49.4  	2   	9  +  9   	---     	1.851	0.797	1   	even    	even    
3   	51.4  	3   	4  +  8   	---     	1.851	0.789	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	69.3  	1   	9  +  8   	---     	1.851	1.334	1   	odd     	odd     
2   	71.3  	2   	2  +  9   	---     	1.85	0.959	1   	odd     	odd     
3   	73.3  	3   	6  +  7   	---     	1.85	1.383	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	91.3  	1   	9  +  5   	---     	1.851	1.031	0   	odd     	even    
2   	93.3  	2   	6  +  9   	---     	1.85	1.551	1   	odd     	odd     
3   	95.3  	3   	9  +  6   	---     	1.85	1.055	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	113.3 	1   	7  +  6   	---     	1.851	1.111	1   	odd     	odd     
2   	115.3 	2   	4  +  7   	---     	1.85	1.351	1   	odd     	odd     
3   	117.3 	3   	6  +  7   	---     	1.85	0.943	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	135.3 	1   	5  +  8   	---     	1.85	1.055	1   	odd     	odd     
2   	137.3 	2   	5  +  7   	---     	1.85	1.351	0   	odd     	even    
3   	139.3 	3   	8  +  3   	---     	1.85	1.519	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	157.3 	1   	7  +  8   	---     	1.85	1.071	1   	odd     	odd     
2   	159.3 	2   	5  +  7   	---     	1.851	1.279	0   	odd     	even    
3   	161.3 	2   	5  +  7 (repeat 1)	---     	1.85	1.071	0   	odd     	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	179.3 	1   	6  +  9   	---     	1.851	1.4 	1   	odd     	odd     
2   	181.3 	2   	8  +  5   	---     	1.85	1.543	0   	even    	odd     
3   	183.3 	3   	9  +  3   	---     	1.85	1.359	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	201.3 	1   	8  +  5   	---     	1.851	0.927	1   	odd     	odd     
2   	203.3 	2   	3  +  8   	---     	1.853	1.376	0   	even    	odd     
3   	205.3 	3   	5  +  8   	---     	1.85	0.951	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	223.3 	1   	9  +  4   	---     	1.851	0.951	1   	odd     	odd     
